mode: set
final-project/cmd/web/main.go:26.13,66.2 12 0
final-project/cmd/web/main.go:68.38,69.6 1 0
final-project/cmd/web/main.go:69.6,70.10 1 0
final-project/cmd/web/main.go:71.35,72.29 1 0
final-project/cmd/web/main.go:73.28,74.10 1 0
final-project/cmd/web/main.go:79.28,88.16 4 0
final-project/cmd/web/main.go:88.16,90.3 1 0
final-project/cmd/web/main.go:93.23,96.17 2 0
final-project/cmd/web/main.go:100.2,100.13 1 0
final-project/cmd/web/main.go:96.17,98.3 1 0
final-project/cmd/web/main.go:103.28,108.6 3 0
final-project/cmd/web/main.go:108.6,110.17 2 0
final-project/cmd/web/main.go:117.3,117.18 1 0
final-project/cmd/web/main.go:121.3,124.11 4 0
final-project/cmd/web/main.go:110.17,112.4 1 0
final-project/cmd/web/main.go:112.9,115.4 2 0
final-project/cmd/web/main.go:117.18,119.4 1 0
final-project/cmd/web/main.go:128.42,130.16 2 0
final-project/cmd/web/main.go:134.2,135.16 2 0
final-project/cmd/web/main.go:139.2,139.16 1 0
final-project/cmd/web/main.go:130.16,132.3 1 0
final-project/cmd/web/main.go:135.16,137.3 1 0
final-project/cmd/web/main.go:142.40,155.2 8 0
final-project/cmd/web/main.go:157.30,160.36 1 0
final-project/cmd/web/main.go:165.2,165.18 1 0
final-project/cmd/web/main.go:160.36,162.4 1 0
final-project/cmd/web/main.go:168.40,176.2 5 0
final-project/cmd/web/main.go:178.31,194.2 10 0
final-project/cmd/web/main.go:196.38,216.2 5 0
final-project/cmd/web/middleware.go:5.64,7.2 1 1
final-project/cmd/web/middleware.go:9.57,11.82 1 1
final-project/cmd/web/middleware.go:11.82,12.55 1 0
final-project/cmd/web/middleware.go:17.3,17.34 1 0
final-project/cmd/web/middleware.go:12.55,16.4 3 0
final-project/cmd/web/signer.go:15.21,17.2 1 0
final-project/cmd/web/signer.go:20.50,24.33 3 0
final-project/cmd/web/signer.go:30.2,33.14 3 0
final-project/cmd/web/signer.go:24.33,26.3 1 0
final-project/cmd/web/signer.go:26.8,28.3 1 0
final-project/cmd/web/signer.go:37.37,41.16 3 0
final-project/cmd/web/signer.go:47.2,47.13 1 0
final-project/cmd/web/signer.go:41.16,45.3 1 0
final-project/cmd/web/signer.go:52.57,58.2 3 0
final-project/cmd/web/handlers.go:15.69,17.2 1 1
final-project/cmd/web/handlers.go:19.70,21.2 1 1
final-project/cmd/web/handlers.go:23.74,28.16 3 1
final-project/cmd/web/handlers.go:33.2,37.16 4 1
final-project/cmd/web/handlers.go:44.2,45.16 2 1
final-project/cmd/web/handlers.go:51.2,51.20 1 0
final-project/cmd/web/handlers.go:66.2,71.47 4 0
final-project/cmd/web/handlers.go:28.16,30.3 1 0
final-project/cmd/web/handlers.go:37.16,41.3 3 0
final-project/cmd/web/handlers.go:45.16,49.3 3 1
final-project/cmd/web/handlers.go:51.20,63.3 5 0
final-project/cmd/web/handlers.go:74.67,80.2 3 1
final-project/cmd/web/handlers.go:82.73,84.2 1 0
final-project/cmd/web/handlers.go:86.77,89.16 2 0
final-project/cmd/web/handlers.go:96.2,107.16 3 0
final-project/cmd/web/handlers.go:114.2,129.52 7 0
final-project/cmd/web/handlers.go:89.16,91.3 1 0
final-project/cmd/web/handlers.go:107.16,111.3 3 0
final-project/cmd/web/handlers.go:132.76,139.11 4 0
final-project/cmd/web/handlers.go:146.2,148.16 2 0
final-project/cmd/web/handlers.go:154.2,157.16 3 0
final-project/cmd/web/handlers.go:163.2,164.47 2 0
final-project/cmd/web/handlers.go:139.11,143.3 3 0
final-project/cmd/web/handlers.go:148.16,152.3 3 0
final-project/cmd/web/handlers.go:157.16,161.3 3 0
final-project/cmd/web/handlers.go:171.76,178.16 3 0
final-project/cmd/web/handlers.go:185.2,186.16 2 0
final-project/cmd/web/handlers.go:193.2,195.9 2 0
final-project/cmd/web/handlers.go:202.2,203.12 2 0
final-project/cmd/web/handlers.go:222.2,223.12 2 0
final-project/cmd/web/handlers.go:249.2,250.16 2 0
final-project/cmd/web/handlers.go:256.2,257.16 2 0
final-project/cmd/web/handlers.go:263.2,267.60 3 0
final-project/cmd/web/handlers.go:178.16,182.3 3 0
final-project/cmd/web/handlers.go:186.16,190.3 3 0
final-project/cmd/web/handlers.go:195.9,199.3 3 0
final-project/cmd/web/handlers.go:203.12,207.17 3 0
final-project/cmd/web/handlers.go:211.3,218.21 2 0
final-project/cmd/web/handlers.go:207.17,209.4 1 0
final-project/cmd/web/handlers.go:223.12,228.17 4 0
final-project/cmd/web/handlers.go:233.3,245.52 3 0
final-project/cmd/web/handlers.go:228.17,231.4 2 0
final-project/cmd/web/handlers.go:250.16,254.3 3 0
final-project/cmd/web/handlers.go:257.16,261.3 3 0
final-project/cmd/web/handlers.go:270.81,290.2 14 0
final-project/cmd/web/handlers.go:292.80,294.2 1 0
final-project/cmd/web/handlers.go:296.79,299.16 2 0
final-project/cmd/web/handlers.go:304.2,309.4 3 0
final-project/cmd/web/handlers.go:299.16,302.3 2 0
final-project/cmd/web/render.go:26.114,38.33 4 1
final-project/cmd/web/render.go:42.2,42.25 1 1
final-project/cmd/web/render.go:46.2,47.16 2 1
final-project/cmd/web/render.go:53.2,53.83 1 1
final-project/cmd/web/render.go:38.33,40.3 1 1
final-project/cmd/web/render.go:42.25,44.3 1 1
final-project/cmd/web/render.go:47.16,51.3 3 0
final-project/cmd/web/render.go:53.83,57.3 3 0
final-project/cmd/web/render.go:60.84,64.28 4 1
final-project/cmd/web/render.go:74.2,76.11 2 1
final-project/cmd/web/render.go:64.28,67.10 3 0
final-project/cmd/web/render.go:67.10,69.4 1 0
final-project/cmd/web/render.go:69.9,71.4 1 0
final-project/cmd/web/render.go:79.64,81.2 1 1
final-project/cmd/web/routes.go:9.42,31.2 14 1
final-project/cmd/web/routes.go:33.46,41.2 5 1
final-project/cmd/web/helpers.go:3.43,6.2 2 0
final-project/cmd/web/mailer.go:41.36,42.6 1 0
final-project/cmd/web/mailer.go:42.6,43.10 1 0
final-project/cmd/web/mailer.go:44.39,45.53 1 0
final-project/cmd/web/mailer.go:46.38,47.29 1 0
final-project/cmd/web/mailer.go:48.30,49.10 1 0
final-project/cmd/web/mailer.go:54.60,58.24 2 0
final-project/cmd/web/mailer.go:62.2,62.20 1 0
final-project/cmd/web/mailer.go:66.2,66.24 1 0
final-project/cmd/web/mailer.go:70.2,70.30 1 0
final-project/cmd/web/mailer.go:77.2,77.27 1 0
final-project/cmd/web/mailer.go:81.2,85.16 3 0
final-project/cmd/web/mailer.go:90.2,91.16 2 0
final-project/cmd/web/mailer.go:95.2,106.16 11 0
final-project/cmd/web/mailer.go:110.2,118.30 5 0
final-project/cmd/web/mailer.go:124.2,124.32 1 0
final-project/cmd/web/mailer.go:130.2,131.16 2 0
final-project/cmd/web/mailer.go:58.24,60.3 1 0
final-project/cmd/web/mailer.go:62.20,64.3 1 0
final-project/cmd/web/mailer.go:66.24,68.3 1 0
final-project/cmd/web/mailer.go:70.30,72.3 1 0
final-project/cmd/web/mailer.go:77.27,79.3 1 0
final-project/cmd/web/mailer.go:85.16,87.3 1 0
final-project/cmd/web/mailer.go:91.16,93.3 1 0
final-project/cmd/web/mailer.go:106.16,108.3 1 0
final-project/cmd/web/mailer.go:118.30,119.37 1 0
final-project/cmd/web/mailer.go:119.37,121.4 1 0
final-project/cmd/web/mailer.go:124.32,125.45 1 0
final-project/cmd/web/mailer.go:125.45,127.4 1 0
final-project/cmd/web/mailer.go:131.16,133.3 1 0
final-project/cmd/web/mailer.go:137.62,142.16 3 0
final-project/cmd/web/mailer.go:146.2,147.69 2 0
final-project/cmd/web/mailer.go:151.2,153.16 3 0
final-project/cmd/web/mailer.go:157.2,157.30 1 0
final-project/cmd/web/mailer.go:142.16,144.3 1 0
final-project/cmd/web/mailer.go:147.69,149.3 1 0
final-project/cmd/web/mailer.go:153.16,155.3 1 0
final-project/cmd/web/mailer.go:160.67,165.16 3 0
final-project/cmd/web/mailer.go:169.2,170.69 2 0
final-project/cmd/web/mailer.go:174.2,176.26 2 0
final-project/cmd/web/mailer.go:165.16,167.3 1 0
final-project/cmd/web/mailer.go:170.69,172.3 1 0
final-project/cmd/web/mailer.go:179.52,187.16 3 0
